Type,Institution,City,State,Postcode,Title,YearAwarded
Institute,East-West Center,Honolulu,HI,96848-1601,Southeast Asia at the Crossroads of World War II,"2010, 2011"
Seminar,Eastern Illinois University,Charleston,IL,61920-3099,Chaucer's Canterbury Tales,"2007, 2009, 2011, 2013"
Landmarks Workshop,Eastern Washington University,Cheney,WA,99004-1619,Grand Coulee Dam: The Intersection of Modernity and Indigenous Cultures,"2016, 2019"
Landmarks Workshop,Educational Service District 112,Vancouver,WA,98661-6812,"Crossroads and Conquest: People, Place and Power on the Vancouver National Historic Reserve",2004
Landmarks Workshop,"Eldridge Street Project, Inc./Museum at Eldridge Street",New York,NY,10002,"Immigration, Religion, and Culture on New York's Lower East Side",2007
Seminar,Elmira College,Elmira,NY,14901-2099,Mark Twain in His Age,2006
Seminar,Emory University,Atlanta,GA,30322-1018,Communism and American Life,"2013, 2015, 2017"
Seminar,Endicott College,Beverly,MA,01915-2098,The Salem Witch Trials: Their World and Legacy,2019
Institute,Fairfield University,Fairfield,CT,06824-5195,"From Harlem to Hip-hop: African-American History, Literature, and Song",2016
Landmarks Workshop,Fairfield University,Fairfield,CT,06824-5195,Duke Ellington and American Popular Culture,"2010, 2013"
Institute,Ferris State University,Big Rapids,MI,49307-2295,"War, Revolution, and Empire: U.S.-Russian/Soviet Relations, 1776-Present",2015
Institute,"Five Colleges, Inc.",Amherst,MA,01002-2324,Native Americans of New England: A Historical Overview,"2012, 2014"
Institute,"Five Colleges, Inc.",Amherst,MA,01002-2324,Teaching Native American Histories,"2016, 2018"
Landmarks Workshop,Florida Humanities Council,St. Petersburg,FL,33701-5005,Between Columbus and Jamestown: Spanish St. Augustine,"2004, 2005, 2006"
Landmarks Workshop,Florida Humanities Council,St. Petersburg,FL,33701-5005,Jump at the Sun: Zora Neale Hurston & Her Eatonville Roots,"2007, 2009, 2009, 2010, 2012, 2016"
Landmarks Workshop,Florida International University,Miami,FL,33199-2516,The Miami Beach Art Deco District: Using Buildings to Tell Stories,2006
Institute,Folger Shakespeare Library,Washington,DC,20003-1004,Shakespeare and the Making of America,2019
Institute,Folger Shakespeare Library,Washington,DC,20003-1004,Teaching Shakespeare,"2005, 2007, 2009, 2011, 2014, 2015, 2017"
Landmarks Workshop,Ford's Theatre Society,Washington,DC,20004-1403,The Seat of War and Peace: The Lincoln Assassination and Its Legacy in the Nation’s Capital,2014
Landmarks Workshop,Fort Ticonderoga Association,Ticonderoga,NY,12883-0390,The American Revolution on the Northern Frontier: Fort Ticonderoga and the Road to Saratoga,"2010, 2013, 2014, 2015"
Landmarks Workshop,Franklin and Eleanor Roosevelt Institute,Hyde Park,NY,12538,"FDR and the World Crisis, 1933-1945: Roosevelt and Hyde Park","2006, 2007"
Institute,George Mason University,Fairfax,VA,22030-4444,"Slavery, Literacy, and Freedom: African American Literature, Culture, and Folklore in the Secondary School Classroom",2004
Seminar,George Mason University,Fairfax,VA,22030-4444,Making Sense of 1989,2007
Institute,George Mason University,Fairfax,VA,22030-4444,Teaching Connected Histories of the Mediterranean,2014
Landmarks Workshop,George Mason University,Fairfax,VA,22030-4444,Graffiti Houses: The Civil War from the Perspective of Individual Soldiers,2015
Landmarks Workshop,"Georgia State University Research Foundation, Inc.",Atlanta,GA,30302-3999,The Problem of the Color Line: Atlanta Landmarks and Civil Rights History,"2005, 2006, 2007, 2009, 2011, 2014, 2015, 2018"
Institute,"Georgia State University Research Foundation, Inc.",Atlanta,GA,30302-3999,Courting Liberty: Slavery and Equality Under the Constitution,"2015, 2017"
Landmarks Workshop,Gettysburg College,Gettysburg,PA,17325-1483,On Hallowed Ground: Gettysburg in History and Memory,"2013, 2019"
Institute,Gilder Lehrman Institute of American History,New York,NY,10036-5900,The Lost World of Early America,2009
Landmarks Workshop,Gilder Lehrman Institute of American History,New York,NY,10036-5900,Empire City: New York from 1877-2001,2011
Landmarks Workshop,Gilder Lehrman Institute of American History,New York,NY,10036-5900,"Empire City: New York and the Transformation of American Life, 1877-1929",2014
Seminar,Gustavus Adolphus College,St. Peter,MN,56082-1498,Roman Daily Life in Petronius and Pompeii,"2015, 2017, 2019"
Institute,Harriet Beecher Stowe Center,Hartford,CT,06105-3243,Slavery and Emancipation in New England,"2004, 2006"
Seminar,Harvard University,Cambridge,MA,02138-3800,Golden Compasses as Moral Compasses: The Ethics and Aesthetics of Fairy Tales and Fantasy,2011
Seminar,Harvard University,Cambridge,MA,02138-3800,"Poetry as a Form of Life, Life as a Form of Poetry","2006, 2007, 2009"
Landmarks Workshop,Heart Mountain Wyoming Foundation,Powell,WY,82435-8723,"Heart Mountain, Wyoming, and the Japanese American Incarceration",2019
Landmarks Workshop,Henry Ford Community College,Dearborn,MI,48128-1495,"The Rouge Plant, Henry Ford, and Manufacturing History: 1917-2004",2005
Landmarks Workshop,"Henry Ford, The",Dearborn,MI,48124-5029,America's Industrial Revolution,"2005, 2006, 2008, 2009, 2010, 2013, 2016, 2018"
Institute,Historic Hudson Valley,Pocantico Hills,NY,10591-5591,Slavery in the Colonial North,"2016, 2018"
Landmarks Workshop,Historical Society of Pennsylvania,Philadelphia,PA,19107-5699,Cultures of Independence: Perspectives on Independence Hall and the Meaning of Freedom,2014
Institute,Historical Society of Pennsylvania,Philadelphia,PA,19107-5699,Becoming US: The Immigrant Experience through Primary Sources,2019
Institute,HistoryMakers,Chicago,IL,60616,African American Political History,"2009, 2011"
Seminar,"Hood College of Frederick, Maryland",Frederick,MD,21701-8575,World War I in History and Literature,2018
Seminar,Illinois College,Jacksonville,IL,62650-2299,"Frontier Illinois: Formation, Context, and Influence",2008
Seminar,Illinois College,Jacksonville,IL,62650-2299,The Frontier Experience in the American Midwest,2010
Institute,Immaculata University,Immaculata,PA,19345-9903,"Duffy's Cut: Immigration, Industrialization, and Illness in Nineteenth Century America",2015
Institute,"Indiana University, Bloomington",Bloomington,IN,47405-7000,"Social Movements in Modern America: Labor, Civil Rights, and Feminism",2009
Institute,"Indiana University, Bloomington",Bloomington,IN,47405-7000,Picturing John James Audubon,"2008, 2010"
Institute,"Indiana University, Indianapolis",Indianapolis,IN,46202-3288,"The Many and The One: Religion, Pluralism, and American History",2009
Institute,Interfaith Center of New York,New York,NY,10115-0253,Religious Worlds of New York: Teaching the Everyday Life of American Religious Diversity,"2011, 2013, 2015, 2016, 2017, 2018"
Institute,Intrepid Sea-Air-Space Museum,New York,NY,10036-1007,The Cold War through the Collections of the Intrepid Museum,"2017, 2019"
Institute,Iowa State University,Ames,IA,50011-2000,Lyon's Cultural Heritage: Living the Present in the Shadow of the Past,2006
Institute,"Italian Cultural Society of Washington, DC",Bethesda,MD,20814-2752,The Art of Teaching Italian Through Italian Art in Italy,"2006, 2008, 2010"
Landmarks Workshop,Jackson State University,Jackson,MS,39217-0001,Landmarks of American Democracy: From Freedom Summer to the Memphis Sanitation Workers' Strike,2004
Institute,James Agee Film Project,Charlottesville,VA,22902-4657,The Power of Place: Land and People in Appalachia,"2012, 2015, 2017"
Landmarks Workshop,Japanese American Citizens League,San Francisco,CA,94115-3217,Civil Liberties in Times of Crisis: The Japanese American Internment,2015
Landmarks Workshop,Kent State University,Kent,OH,44242-0001,Making Meaning of May 4th: The 1970 Kent State Shootings in US History,2019
Landmarks Workshop,Kentucky Historical Society,Frankfort,KY,40601-1931,"Torn Within, Threatened Without: Kentucky and the Border States in the Civil War",2012
Landmarks Workshop,La Salle University,Philadelphia,PA,19141-1199,Benjamin Franklin and the American People,2015
Seminar,Lehigh University,Bethlehem,PA,18015-3027,Chaucer's Canterbury Comedies,2004
Seminar,Library Company of Philadelphia,Philadelphia,PA,19107-5679,Re-Examining the Abolitionist Movement: Fighting Slavery and Racial Injustice Between the Revolution and the Civil War,2005
Seminar,Library Company of Philadelphia,Philadelphia,PA,19107-5679,Philadelphia's Economy in an Age of Atlantic World Revolutions,2008
Seminar,Library Company of Philadelphia,Philadelphia,PA,19107-5679,"What Did Independence Mean For Women, 1776-1876?",2016
Seminar,Library Company of Philadelphia,Philadelphia,PA,19107-5679,The Abolitionist Movement from the American Revolution to the Civil War,"2007, 2009, 2011, 2012"
Landmarks Workshop,"London Town Foundation, Inc.",Edgewater,MD,21037-2120,"Secret Culture, Public Lives: Slavery in the Colonial Chesapeake",2013
Institute,Luther College,Decorah,IA,52101-1041,Multiple Perspectives on the Holocaust,2007
Institute,Maine Humanities Council,Portland,ME,04102-1012,Hawthorne and Longfellow,2005
Institute,Maine Humanities Council,Portland,ME,04102-1012,Borders and Borderlands: The Acadian Experience in Maine,2013
Landmarks Workshop,Maritime Museum Association of San Diego,San Diego,CA,92101-3309,Empires of the Wind: Exploration of the United States Pacific West Coast,"2009, 2011, 2012, 2014"
Landmarks Workshop,Mark Twain House,Hartford,CT,06105-6400,The Mark Twain House Teacher Workshops,2004
Landmarks Workshop,Mark Twain House,Hartford,CT,06105-6400,"Mark Twain and the ""Impolite Nation"": Using Twain's Work to Teach About Race in America",2006
Landmarks Workshop,Mark Twain House,Hartford,CT,06105-6400,Mark Twain in the Gilded Age: The Hartford Years,2006
Landmarks Workshop,Mark Twain House,Hartford,CT,06105-6400,"Huckleberry Finn in Post-Reconstruction America: Mark Twain's Hartford Years, 1871–1891",2008
Institute,Mark Twain House,Hartford,CT,06105-6400,Mark Twain and the Culture of Progress,2010
Landmarks Workshop,Mark Twain House,Hartford,CT,06105-6400,"Huck, Jim and Jim Crow: a Workshop for Teachers",2011
Landmarks Workshop,Massachusetts Historical Society,Boston,MA,02215-3631,At the Crossroads of Revolution: Lexington and Concord in 1775,"2009, 2011, 2014"
Institute,Mercer University,Macon,GA,31207-0001,Cotton Culture in the South from the Civil War to the Civil Rights Movement,"2009, 2011"
Institute,Michigan State University,East Lansing,MI,48824-3407,Africa in World History,"2012, 2014"
Landmarks Workshop,Middle Tennessee State University,Murfreesboro,TN,37132-0001,"Traveller's Rest, Occupied Nashville, and the Civil War and Emancipation in the Upper South",2008
Landmarks Workshop,Middle Tennessee State University,Murfreesboro,TN,37132-0001,"The Hermitage, Andrew Jackson, and America 1801-1861","2004, 2006, 2007, 2009"
Landmarks Workshop,Millsaps College,Jackson,MS,39210-0002,Eudora Welty's Secret Sharer: The Outside World and the Writer's Imagination,2007
Landmarks Workshop,Millsaps College,Jackson,MS,39210-0002,"One Place, One Time: Jackson, Mississippi, 1963",2012
Landmarks Workshop,Minnesota Historical Society,St. Paul,MN,55102-1903,Fort Snelling: A Contentious Ground,2006
Landmarks Workshop,Minnesota Humanities Center,St. Paul,MN,55106-2046,"Building America: Minnesota's Iron Range, U.S. Industrialization, and the Creation of a World Power","2007, 2009"
Institute,Minot State University,Minot,ND,58707-0001,Contexts and Legacies of the Lewis and Clark Expedition,2004
Landmarks Workshop,Molly Brown House Museum,Denver,CO,80203-2417,Molly Brown and Western Biography: A Look at Life and Legend,2009
Landmarks Workshop,Montana Historical Society,Helena,MT,59601-4514,"The Richest Hills: Mining in the Far West, 1862-1920","2010, 2012, 2014"
Landmarks Workshop,"Montana State University, Billings",Billings,MT,59101-0245,The Battle of the Little Bighorn and the Great Sioux War (1876),2018
Landmarks Workshop,Montpelier Foundation,Orange,VA,22960-0551,James Madison and Constitutional Citizenship,"2005, 2006, 2007, 2009, 2010"
Institute,Moravian College,Bethlehem,PA,18018-6650,Bach Across the Centuries: An Interdisciplinary View of His Life and Works,2004
Institute,Moravian College,Bethlehem,PA,18018-6650,J.S. Bach in the Baroque and the Enlightenment,2007
Institute,Moravian College,Bethlehem,PA,18018-6650,Johann Sebastian Bach: Celebrating the 325th Anniversary of Bach's Birth in Germany,2009
Institute,Moravian College,Bethlehem,PA,18018-6650,Johann Sebastian Bach in the Baroque Era and in Our Time,2011
Institute,Moravian College,Bethlehem,PA,18018-6650,Johann Sebastian Bach: Music of the Baroque and the Enlightenment,2013
Institute,Moravian College,Bethlehem,PA,18018-6650,Johann Sebastian Bach and the Music of the Reformation Churches,2016
Seminar,Mount Holyoke College,South Hadley,MA,01075-1461,Existentialism,"2010, 2013, 2015, 2016"
Institute,Museum of Chinese in the Americas,New York,NY,10013-3601,The Chinese Exclusion Act and Immigration in America,2015
Landmarks Workshop,National Constitution Center,Philadelphia,PA,19106-1514,"A Revolution in Government: Philadelphia, American Independence, and the Constitution, 1765-1791","2006, 2007, 2008"
Landmarks Workshop,National Constitution Center,Philadelphia,PA,19106-1514,A Revolution in Government: Philadelphia and the Creation of the American Republic,"2009, 2010"
Institute,National Humanities Center,Research Triangle Park,NC,27709-0152,Contested Territory of Vietnam,"2017, 2019"
Landmarks Workshop,National Trust For Historic Preservation in the United States,Washington,DC,20037-1905,"Race and Place: African Americans in Washington, DC from 1800-1954","2006, 2007"
Landmarks Workshop,National-Louis University,Chicago,IL,60603-6191,The Chicago Lakefront as Public Space,2010
Landmarks Workshop,Nebraska Historical Society,Lincoln,NE,68508-1651,Shifting Power on the Great Plains: Fort Robinson and the American West,"2004, 2009"
Institute,New Bedford Whaling Museum,New Bedford,MA,02740-6398,Moby-Dick and the World of Whaling in the Digital Age,"2017, 2019"
Institute,New York Public Library,New York,NY,10016-0133,"Recipe for America: New York, Immigration, and American Identity through Culinary Culture",2011
Institute,New York Public Library,New York,NY,10016-0133,"Immigration, Migration, and the Transformation of the African-American Community in the 20th and 21st Centuries",2014
Institute,New York Public Library,New York,NY,10016-0133,Harlem’s Education Movements: Changing the Civil Rights Narrative,2019
Seminar,New York University,New York,NY,10012-1019,Eastern Europe in Modern European History,2012
Institute,New-York Historical Society,New York,NY,10024-5152,Race and Politics in the American Civil War,2013
Institute,New-York Historical Society,New York,NY,10024-5152,American Women at War,2016
Institute,New-York Historical Society,New York,NY,10024-5152,American Women in the Revolutionary and Civil Wars,2018
Institute,New-York Historical Society,New York,NY,10024-5152,"American Women, American Citizens: 1920-1948",2019
Seminar,Newberry Library,Chicago,IL,60610-3380,Envisioning America in Maps and Art,2010
Institute,Newberry Library,Chicago,IL,60610-3380,The Early Republic and Indian Country: 1812-1833,2011
Seminar,Newberry Library,Chicago,IL,60610-3380,Reading Material Maps in the Digital Age,2017
Seminar,Newberry Library,Chicago,IL,60610-3380,Mapping Nature across the Americas,2019
Seminar,Newberry Library,Chicago,IL,60610-3380,Developing Cartographic Literacy with Historic Maps,"2004, 2006, 2008"
Landmarks Workshop,Niagara County Community College,Sanborn,NY,14132-9506,Clinton's Ditch: The Erie Canal in Western New York,2012
Landmarks Workshop,Niagara University,Niagara Falls,NY,14305-1500,Crossroads of Empire: Old Fort Niagara,"2006, 2008, 2010"
Landmarks Workshop,"Norman B. Leventhal Map Center, Inc.",Boston,MA,02116-2813,Mapping a New World: Places of Conflict and Colonization in 17th-Century New England,"2016, 2019"
Institute,North Carolina Center for the Advancement of Teaching (NCCAT),Cullowhee,NC,28723,Beyond the Trail of Tears: A View from the Cherokee Homeland,2013
Seminar,North Carolina State University,Raleigh,NC,27695-7003,Theatricality and Reality in Modern French Drama,"2006, 2008, 2010, 2013"
Seminar,"North Dakota State University, Main Campus",Fargo,ND,58102-1843,"The Great Plains from Texas to Saskatchewan: Place, Memory, Identity","2005, 2007"
Landmarks Workshop,NorthEast Washington Educational Service District 101,Spokane,WA,99223-7738,"Atomic West, Atomic World",2013
Landmarks Workshop,Northern Illinois University,DeKalb,IL,60115-2828,"The Lincoln Home, Society, and Politics in Antebellum America, 1840-1861",2005
Institute,Notre Dame of Maryland University,Baltimore,MD,21210-2404,Catullus and Horace: Poets in a Landscape,2004
Institute,Notre Dame of Maryland University,Baltimore,MD,21210-2404,Houses of Mortals and Gods: Latin Literature in Context,"2005, 2007, 2009"
Landmarks Workshop,Ohio Historical Society,Columbus,OH,43211-2474,The War of 1812 in the Great Lakes and Western Territories,2011
Landmarks Workshop,Ohio Historical Society,Columbus,OH,43211-2474,"Demon Times: Temperance, Immigration, and Progressivism",2015
Landmarks Workshop,Ohio Historical Society,Columbus,OH,43211-2474,Following in Ancient Footsteps: The Hopewell in Ohio,"2014, 2016"
Institute,Ohio State University,Columbus,OH,43210-1132,Central Asia in World History,2011
Institute,Ohio State University,Columbus,OH,43210-1132,Central Asia in World History,2015
Seminar,Ohio State University Research Foundation,Columbus,OH,43212,Religion in English History and Literature from The Canterbury Tales through Pilgrim's Progress,2007
Landmarks Workshop,Old Dominion University Research Foundation,Norfolk,VA,23508-0369,The Long Road from Brown: School Desegregation in Virginia,"2014, 2016, 2019"
Landmarks Workshop,"Pennsylvania State University, Main Campus",University Park,PA,16802-7000,"Slavery and Freedom in Charleston, S.C. and the Sea Islands",2004
Landmarks Workshop,"Pennsylvania State University, Main Campus",University Park,PA,16802-7000,A Rising People: Benjamin Franklin and the Americans,"2006, 2008, 2009, 2010"
